QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
weka.core.FindWithCapabilities	FindWithCapabilities	very-high	medium-high	medium-high	medium-high	12	456	81	1	0	149	510	496	11	0	29	1	0	0.905	0.776	0.857	0	0.0		
weka.core.FontHelper	FontHelper	low	low	low	low-medium	0	12	3	1	0	10	25	21	3	0	9	0	0	0.571	0.639	0.556	0	0.0		
weka.core.GlobalInfoJavadoc	GlobalInfoJavadoc	low-medium	low	low	low	1	71	11	2	0	8	31	26	0	3	3	1	0	1.0	0.5	1.0	0	0.0		
weka.core.InheritanceUtils	InheritanceUtils	low	low	low	low	1	25	6	1	0	15	45	44	0	0	0	4	0	0.0	0.333	0.0	0	0.0		
weka.core.Instance	Instance	medium-high	low	very-high	medium-high	2	51	0	1	1	51	52	51	0	0	51	0	0	0.0	0.737	0.0	0	0.0		
weka.core.InstanceComparator	InstanceComparator	low-medium	low	low-medium	low	5	59	29	1	0	31	108	103	2	1	11	1	0	0.762	0.583	0.758	0	0.0		
weka.core.Instances	Instances	very-high	medium-high	very-high	high	11	306	149	3	0	317	1087	1074	6	5	96	3	1	0.892	0.829	0.915	0	0.031		
weka.core.Javadoc	Javadoc	medium-high	low	low-medium	medium-high	2	68	59	1	4	60	240	233	6	0	25	1	0	0.9	0.724	0.956	0	0.0		
weka.core.ListOptions	ListOptions	low-medium	low	low-medium	low	3	89	31	1	0	20	78	76	1	0	11	1	0	0.0	0.528	0.985	0	0.0		
weka.core.LogHandler	LogHandler	low	low	low	low	1	2	0	1	1	2	3	2	0	0	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.ManhattanDistance	ManhattanDistance	low-medium	low	low	low	5	24	5	2	0	6	29	25	0	1	6	0	0	0.0	0.556	0.0	0	0.0		
weka.core.Matchable	Matchable	low	low	low	low	0	1	0	1	1	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.Matrix	Matrix	medium-high	low-medium	low-medium	medium-high	6	95	46	1	0	59	191	187	1	1	29	3	1	0.526	0.741	0.607	1	0.034		
weka.core.Memory	Memory	low-medium	low	low-medium	low-medium	2	47	27	1	0	36	145	135	4	4	14	2	0	0.85	0.687	0.808	0	0.0		
weka.core.MinkowskiDistance	MinkowskiDistance	medium-high	low-medium	low-medium	medium-high	9	113	26	2	0	18	84	80	1	1	15	0	3	0.6	0.744	0.89	0	0.4		
