QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
org.apache.xerces.jaxp.JAXPValidatorComponent	JAXPValidatorComponent	low	low	low-medium	low	0	0	0	0	0	0	252	0	2	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.SAXParserFactoryImpl	SAXParserFactoryImpl	low	low	low-medium	low	0	2	0	0	0	2	82	4	2	0	2	0	0	1.0	0.25	0.0	0	0.0		
org.apache.xerces.jaxp.SAXParserImpl	SAXParserImpl	low	low	medium-high	low	0	5	1	0	0	10	317	25	1	0	4	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.SchemaValidatorConfiguration	SchemaValidatorConfiguration	low	low	low	low	0	0	0	0	0	0	46	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl	TeeXMLDocumentFilterImpl	low	low	low-medium	low	0	0	0	0	0	0	71	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.UnparsedEntityHandler	UnparsedEntityHandler	low	low	low-medium	low	0	1	0	0	0	3	115	3	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.apache.xerces.jaxp.datatype	org.apache.xerces.jaxp.datatype	low	low	medium-high	low						132	1895													
org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl	DatatypeFactoryImpl	low	low	low-medium	low	0	1	0	0	0	1	66	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.datatype.DurationImpl	DurationImpl	low-medium	low	medium-high	medium-high	0	15	1	0	0	38	660	81	1	1	13	2	0	0.75	0.707	0.972	0	0.0		
org.apache.xerces.jaxp.datatype.SerializedDuration	SerializedDuration	low	low	low	low	0	0	0	0	0	0	7	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.datatype.SerializedXMLGregorianCalendar	SerializedXMLGregorianCalendar	low	low	low	low	0	0	0	0	0	0	7	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl	XMLGregorianCalendarImpl	medium-high	low	high	low	0	29	14	0	0	62	1155	171	14	12	26	3	0	0.921	0.494	0.802	0	0.0		
<Package>org.apache.xerces.jaxp.validation	org.apache.xerces.jaxp.validation	low	low	high	low						133	2979													
org.apache.xerces.jaxp.validation.AbstractXMLSchema	AbstractXMLSchema	low	low	low	low	0	1	0	0	0	1	13	2	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.DOMDocumentHandler	DOMDocumentHandler	low	low	low	low	0	1	0	1	0	7	8	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.DOMResultAugmentor	DOMResultAugmentor	low	low	low-medium	low	0	1	0	0	0	1	119	2	2	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.DOMResultBuilder	DOMResultBuilder	low	low	low-medium	low	0	2	0	0	0	2	188	3	2	1	2	0	0	0.0	0.25	1.0	0	0.0		
org.apache.xerces.jaxp.validation.DOMValidatorHelper	DOMValidatorHelper	low	low	low-medium	low	0	0	0	0	0	0	290	0	2	2	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.DraconianErrorHandler	DraconianErrorHandler	low	low	low	low	0	2	0	0	0	2	11	3	0	1	1	1	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.EmptyXMLSchema	EmptyXMLSchema	low	low	low	low	0	5	0	0	0	5	15	6	0	0	5	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter	JAXPValidationMessageFormatter	low	low	low	low	0	0	0	0	0	0	30	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.ReadOnlyGrammarPool	ReadOnlyGrammarPool	low	low	low	low	0	3	0	0	0	3	12	3	0	0	3	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.validation.SimpleXMLSchema	SimpleXMLSchema	low	low	low	low	0	4	0	0	0	4	22	5	0	0	4	0	0	0.0	0.0	0.0	0	0.0		
